date,title,content,source,url,keyword,text,sentiment,confidence,topic
2025-05-27,Tesla continues to circle the drain,"We don’t typically report on monthly sales data for one car company in one market, but this one seems particularly notable given all that’s going on in the world. In another sign that Elon Musk’s company is in a real tough spot, Tesla is getting absolutely de…",The Verge,https://www.theverge.com/news/675058/tesla-europe-april-sales-musk-doge-brand-crisis,Tesla,"Tesla continues to circle the drain. We don’t typically report on monthly sales data for one car company in one market, but this one seems particularly notable given all that’s going on in the world. In another sign that Elon Musk’s company is in a real tough spot, Tesla is getting absolutely de…",Negative,0.9999947547912598,Tesla
2025-05-22,Xiaomi’s new PU7 spells trouble for Tesla in China,"Xiaomi unveiled its hotly anticipated PU7 electric SUV in China today, in the latest potential blow to Tesla’s position in the world’s hottest EV market. The electronics giant says the PU7 will get up to 518 miles of range on certain trims and accelerate from…",The Verge,https://www.theverge.com/news/673023/xiaomi-pu7-ev-suv-china-tesla-model-y,Tesla,"Xiaomi’s new PU7 spells trouble for Tesla in China. Xiaomi unveiled its hotly anticipated PU7 electric SUV in China today, in the latest potential blow to Tesla’s position in the world’s hottest EV market. The electronics giant says the PU7 will get up to 518 miles of range on certain trims and accelerate from…",Negative,0.955158531665802,Tesla
2025-05-23,Xiaomi’s new YU7 spells trouble for Tesla in China,"Xiaomi unveiled its hotly anticipated YU7 electric SUV in China today, in the latest potential blow to Tesla’s position in the world’s hottest EV market. The electronics giant says the YU7 will get up to 518 miles of range on certain trims and accelerate from…",The Verge,https://www.theverge.com/news/673023/xiaomi-yu7-ev-suv-china-tesla-model-y,Tesla,"Xiaomi’s new YU7 spells trouble for Tesla in China. Xiaomi unveiled its hotly anticipated YU7 electric SUV in China today, in the latest potential blow to Tesla’s position in the world’s hottest EV market. The electronics giant says the YU7 will get up to 518 miles of range on certain trims and accelerate from…",Negative,0.8716420531272888,Tesla
2025-05-22,What if Tesla made a Slate-like EV instead of the Cybertruck?,"At last month's rapturously received Slate debut, it took an executive's quip that ""Slate"" and ""Tesla"" use the same 5 letters to shift my brain into high gear. I've covered the EV world for 15-plus years, and I virtually never spend time on counterfactuals. T…",The Verge,https://www.theverge.com/tesla/672120/slate-truck-tesla-cybertruck-what-if,Tesla,"What if Tesla made a Slate-like EV instead of the Cybertruck?. At last month's rapturously received Slate debut, it took an executive's quip that ""Slate"" and ""Tesla"" use the same 5 letters to shift my brain into high gear. I've covered the EV world for 15-plus years, and I virtually never spend time on counterfactuals. T…",Neutral,0.99997878074646,Tesla
2025-05-17,Is Elon Musk Really Stepping Back from DOGE?,"Elon Musk is apparently turning his attention away from Washington and back to Tesla. On this episode of ‘Uncanny Valley,’ the hosts unpack what Musk’s pivot means for the future of DOGE.",Wired,https://www.wired.com/story/uncanny-valley-podcast-elon-musk-stepping-back-from-doge/,Tesla,"Is Elon Musk Really Stepping Back from DOGE?. Elon Musk is apparently turning his attention away from Washington and back to Tesla. On this episode of ‘Uncanny Valley,’ the hosts unpack what Musk’s pivot means for the future of DOGE.",Neutral,0.9998846054077148,Tesla
2025-05-28,Tesla’s iPhone app now supports Live Activities for Supercharging,"Tesla’s latest iOS app update allows users to view their car’s Supercharging progress on their phone’s lock screen, Not A Tesla App reports. The feature takes advantage of Apple’s Live Activities feature, which gives apps the ability to display real-time upda…",The Verge,https://www.theverge.com/news/676070/tesla-supercharger-apple-iphone-live-activites-status-child,Tesla,"Tesla’s iPhone app now supports Live Activities for Supercharging. Tesla’s latest iOS app update allows users to view their car’s Supercharging progress on their phone’s lock screen, Not A Tesla App reports. The feature takes advantage of Apple’s Live Activities feature, which gives apps the ability to display real-time upda…",Positive,0.8432762622833252,Tesla
2025-05-29,We still know almost nothing about Tesla’s robotaxi service,"In dribs and drabs, we’re starting to get a better idea of what Tesla’s robotaxi service will look like when it launches in Austin, Texas, in just a few weeks. But it’s not nearly enough given what’s at stake. The company is considering June 12th as a possibl…",The Verge,https://www.theverge.com/news/676548/tesla-robotaxi-launch-vehicles-date-lack-information,Tesla,"We still know almost nothing about Tesla’s robotaxi service. In dribs and drabs, we’re starting to get a better idea of what Tesla’s robotaxi service will look like when it launches in Austin, Texas, in just a few weeks. But it’s not nearly enough given what’s at stake. The company is considering June 12th as a possibl…",Neutral,0.999974250793457,Tesla
2025-06-06,The Cadillac Optiq-V is GM’s first EV with built-in Tesla Supercharger support,"The Cadillac Optiq may be the newest addition to the automaker’s electric lineup, but it’s already getting its own V-series performance variant. Nearly five months after the 2025 Optiq first arrived at dealerships, Cadillac is revealing the Optiq-V, with 519 …",The Verge,https://www.theverge.com/news/681339/cadillac-optiq-v-nacs-supercharger-specs-price,Tesla,"The Cadillac Optiq-V is GM’s first EV with built-in Tesla Supercharger support. The Cadillac Optiq may be the newest addition to the automaker’s electric lineup, but it’s already getting its own V-series performance variant. Nearly five months after the 2025 Optiq first arrived at dealerships, Cadillac is revealing the Optiq-V, with 519 …",Neutral,0.9996498823165894,Tesla
2025-06-06,The 10 days that unravelled their relationship,Their feud began with Elon Musk's disappointment over a bill - now Trump is considering selling his Tesla.,BBC News,https://www.bbc.com/news/articles/clyr7v79q4yo,Tesla,The 10 days that unravelled their relationship. Their feud began with Elon Musk's disappointment over a bill - now Trump is considering selling his Tesla.,Negative,0.9999674558639526,Tesla
2025-05-30,NYT reports Elon Musk’s drug use went ‘well beyond occasional’ in 2024,"Elon Musk may have understated the “small amount” of ketamine that he said he was using in a Don Lemon interview last year, according to sources for The New York Times. The publication reports that around the time Musk endorsed Donald Trump’s Presidential run…",The Verge,https://www.theverge.com/news/677130/elon-musk-ketamine-nyt-report,Tesla,"NYT reports Elon Musk’s drug use went ‘well beyond occasional’ in 2024. Elon Musk may have understated the “small amount” of ketamine that he said he was using in a Don Lemon interview last year, according to sources for The New York Times. The publication reports that around the time Musk endorsed Donald Trump’s Presidential run…",Neutral,0.9998693466186523,Tesla
2025-05-30,Tesla’s Robotaxi Could Self-Drive Your Faith in Autonomous Cars Right Off a Cliff,"Apparently Tesla's robotaxi reveal is upon us, which is either a watershed moment for self-driving or a total flop.",Gizmodo.com,https://gizmodo.com/teslas-robotaxi-could-self-drive-your-faith-in-autonomous-cars-right-off-a-cliff-2000609211,Tesla,"Tesla’s Robotaxi Could Self-Drive Your Faith in Autonomous Cars Right Off a Cliff. Apparently Tesla's robotaxi reveal is upon us, which is either a watershed moment for self-driving or a total flop.",Neutral,0.9985532164573669,Tesla
2025-05-28,"I swapped my Tesla for a BYD after getting frustrated with Elon Musk. It was the right decision, but there are some things I miss.","Mahican Gielen, who swapped her Tesla for a BYD Sealion 7 partly because of Elon Musk, loves the Chinese EV but misses a few Tesla features.",Business Insider,https://www.businessinsider.com/byd-sealion-7-i-swapped-my-tesla-for-a-byd-2025-5,Tesla,"I swapped my Tesla for a BYD after getting frustrated with Elon Musk. It was the right decision, but there are some things I miss.. Mahican Gielen, who swapped her Tesla for a BYD Sealion 7 partly because of Elon Musk, loves the Chinese EV but misses a few Tesla features.",Neutral,0.9900752902030945,Tesla
2025-06-09,"Despite Feud, Trump Says He’ll Stick With Starlink at White House","NASA might have other ideas, though.",Gizmodo.com,https://gizmodo.com/despite-feud-trump-says-hell-stick-with-starlink-at-white-house-2000613444,Tesla,"Despite Feud, Trump Says He’ll Stick With Starlink at White House. NASA might have other ideas, though.",Neutral,0.9999250173568726,Unknown
2025-05-21,Elon Musk says he isn't ruling out merging xAI and Tesla,"Tesla CEO Elon Musk said ""anything is possible"" when asked about merging xAI and Tesla, but said there are no plans to do so.",Business Insider,https://www.businessinsider.com/elon-musk-wont-rule-out-merging-xai-tesla-2025-5,Tesla,"Elon Musk says he isn't ruling out merging xAI and Tesla. Tesla CEO Elon Musk said ""anything is possible"" when asked about merging xAI and Tesla, but said there are no plans to do so.",Neutral,0.999774158000946,Tesla
2025-06-09,"One, Big, Beautiful Breakup","On this epsiode of Uncanny Valley, our senior politics editor joins us to discuss the implications of the collapse of the relationship between Trump and Musk.",Wired,https://www.wired.com/story/uncannny-valley-podcast-one-big-beautiful-breakup/,Tesla,"One, Big, Beautiful Breakup. On this epsiode of Uncanny Valley, our senior politics editor joins us to discuss the implications of the collapse of the relationship between Trump and Musk.",Neutral,0.9997720122337341,Unknown
